Part,Age,Age_Group,Adult,Country,Prime,HDT,Bio_SummScore,Psych_SummScore,TotalCessation,MoreMind,MoreBody,EqualMindBody,ResponseType,BeliefLevel,Overall_Summ,Religion,Religion_edited,Religiosity,RB_Summ,RF_Summ,Intrinsic_Summ,Extrinsic_Summ,Es_Summ,Ep_Summ,RC_Summ,PI_1,CRT_Score,Education,Ethnicity,Income,Political
1,8,1,0,1,2,54,5,5,0,0,0,1,4,3,10,4,Christian,2,18,,,,,,,2,,6,4,4,
2,8,1,0,1,1,14,0,3,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,
3,11,1,0,1,2,104,0,3,0,1,0,0,2,2,3,4,Christian,2,9,,,,,,,4,,6,4,5,
4,13,2,0,1,1,380,1,0,0,0,1,0,3,2,1,2,Non-religious,1,16,,,,,,,3,,4,3,6,
5,12,1,0,1,2,500,5,6,0,1,0,0,2,3,10,4,Christian,2,28,,,,,,,7,,6,3,1,
6,7,1,0,1,1,500,0,0,1,0,0,0,1,1,0,9,Other,2,41,,,,,,,3,,9,7,6,
0,11,1,0,1,1,23,0,2,0,1,0,0,2,2,2,4,Christian,2,25,,,,,,,1,,6,4,4,
7,13,2,0,1,1,340,0,4,0,1,0,0,2,2,4,6,Judaism,2,13,,,,,,,2,,4,3,6,
8,13,2,0,1,1,251,3,0,0,0,1,0,3,2,3,2,Non-religious,1,7,,,,,,,2,,6,3,5,
9,13,2,0,1,2,250,2,5,0,1,0,0,2,3,7,8,Christian,2,33,,,,,,,2,,4,3,5,
85,13,2,0,1,2,390,0,2,0,1,0,0,2,2,2,8,Christian,2,11,,,,,,,2,,8,3,4,
10,16,2,0,1,2,480,0,2,0,1,0,0,2,2,2,4,Christian,2,37,,,,,,,7,,6,3,6,
11,17,2,0,1,1,460,0,3,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,
12,17,2,0,1,1,183,1,0,0,0,1,0,3,2,1,4,Christian,2,23,,,,,,,5,,3,4,4,
13,13,2,0,1,2,480,0,4,0,1,0,0,2,2,4,9,Other,2,22,,,,,,,3,,8,3,6,
14,15,2,0,1,1,220,0,6,0,1,0,0,2,3,6,8,Christian,2,19,,,,,,,5,,8,2,6,
15,9,1,0,1,2,23,1,0,0,0,1,0,3,2,1,4,Christian,2,7,,,,,,,2,,8,3,6,
16,11,1,0,1,1,14,3,0,0,0,1,0,3,2,3,,,,,,,,,,,,,,,,
18,7,1,0,1,1,430,0,2,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,
19,12,1,0,1,2,54,4,6,0,1,0,0,2,3,10,1,Non-religious,1,10,,,,,,,4,,6,3,6,
21,13,2,0,1,2,141,5,6,0,1,0,0,2,3,11,8,Christian,2,18,,,,,,,4,,6,3,6,
22,9,1,0,1,1,291,1,0,0,0,1,0,3,2,1,2,Non-religious,1,8,,,,,,,3,,6,3,6,
23,11,1,0,1,2,370,0,0,1,0,0,0,1,1,0,2,Non-religious,1,8,,,,,,,3,,6,3,6,
24,11,1,0,1,1,370,1,0,0,0,1,0,3,2,1,2,Non-religious,1,8,,,,,,,3,,6,3,6,
25,17,2,0,1,1,14,1,1,0,0,0,1,4,2,2,9,Other,2,38,,,,,,,4,,5,1,1,
26,15,2,0,1,1,141,1,5,0,1,0,0,2,2,6,8,Christian,2,19,,,,,,,3,,6,3,3,
27,9,1,0,1,2,5,4,4,0,0,0,1,4,3,8,9,Other,2,9,,,,,,,3,,8,3,4,
28,15,2,0,1,2,42,3,4,0,1,0,0,2,3,7,1,Non-religious,1,8,,,,,,,3,,8,3,6,
29,13,2,0,1,2,330,3,4,0,1,0,0,2,3,7,1,Non-religious,1,8,,,,,,,3,,8,3,6,
30,9,1,0,1,2,14,1,1,0,0,0,1,4,2,2,8,Christian,2,12,,,,,,,6,,6,3,1,
31,17,2,0,1,1,500,0,0,1,0,0,0,1,1,0,8,Christian,2,30,,,,,,,5,,8,3,6,
34,17,2,0,1,1,500,0,0,0,1,0,0,2,2,0,8,Christian,2,35,,,,,,,5,,6,3,6,
35,15,2,0,1,1,5,0,4,0,1,0,0,2,2,4,,,,,,,,,,,,,,,,
36,8,1,0,1,1,63,2,2,0,0,0,1,4,2,4,8,Christian,2,12,,,,,,,3,,8,3,5,
37,10,1,0,1,2,460,0,2,0,1,0,0,2,2,2,1,Non-religious,1,7,,,,,,,4,,4,3,4,
38,10,1,0,1,2,311,5,6,0,1,0,0,2,3,11,1,Non-religious,1,9,,,,,,,2,,6,3,6,
39,17,2,0,1,2,82,2,5,0,1,0,0,2,3,7,,,,,,,,,,,,,,,,
40,17,2,0,1,1,370,3,6,0,1,0,0,2,3,10,8,Christian,2,22,,,,,,,4,,6,3,6,
